Tester console logging started at 2024-05-26T11:05:49.972160Z

1: Bus=0x01:00 DevId=0x2489   8GB NVIDIA GeForce RTX 3060 Ti
Tester worker logging started at 2024-05-26T11:05:50.200881Z
Standard 5-minute test of 1: Bus=0x01:00 DevId=0x2489   8GB NVIDIA GeForce RTX 3060 Ti
  97164 iteration. Passed 30.0235 seconds  written: 3903.2GB 384.1GB/sec        checked: 7806.5GB 393.0GB/sec
  98365 iteration. Passed 30.0062 seconds  written: 3903.2GB 384.3GB/sec        checked: 7806.5GB 393.3GB/sec
  99566 iteration. Passed 30.0092 seconds  written: 3903.2GB 384.2GB/sec        checked: 7806.5GB 393.3GB/sec
 100766 iteration. Passed 30.0083 seconds  written: 3900.0GB 384.0GB/sec        checked: 7800.0GB 392.9GB/sec
 101967 iteration. Passed 30.0115 seconds  written: 3903.2GB 384.0GB/sec        checked: 7806.5GB 393.3GB/sec
 103121 iteration. Passed 30.0116 seconds  written: 3750.5GB 357.5GB/sec        checked: 7501.0GB 384.3GB/sec
 104270 iteration. Passed 30.0113 seconds  written: 3734.2GB 364.5GB/sec        checked: 7468.5GB 377.9GB/sec
 105420 iteration. Passed 30.0166 seconds  written: 3737.5GB 365.5GB/sec        checked: 7475.0GB 377.7GB/sec
 106570 iteration. Passed 30.0074 seconds  written: 3737.5GB 365.5GB/sec        checked: 7475.0GB 377.9GB/sec
 107719 iteration. Passed 30.0041 seconds  written: 3734.2GB 364.7GB/sec        checked: 7468.5GB 377.9GB/sec
 108869 iteration. Passed 30.0056 seconds  written: 3737.5GB 365.9GB/sec        checked: 7475.0GB 377.7GB/sec
 110019 iteration. Passed 30.0166 seconds  written: 3737.5GB 364.9GB/sec        checked: 7475.0GB 378.0GB/sec
 111169 iteration. Passed 30.0166 seconds  written: 3737.5GB 365.3GB/sec        checked: 7475.0GB 377.8GB/sec
 112319 iteration. Passed 30.0063 seconds  written: 3737.5GB 365.2GB/sec        checked: 7475.0GB 378.1GB/sec
 113469 iteration. Passed 30.0198 seconds  written: 3737.5GB 365.1GB/sec        checked: 7475.0GB 377.9GB/sec
 114619 iteration. Passed 30.0134 seconds  written: 3737.5GB 365.6GB/sec        checked: 7475.0GB 377.7GB/sec
 115769 iteration. Passed 30.0236 seconds  written: 3737.5GB 365.2GB/sec        checked: 7475.0GB 377.7GB/sec
 116917 iteration. Passed 30.0168 seconds  written: 3731.0GB 364.6GB/sec        checked: 7462.0GB 377.2GB/sec
 118073 iteration. Passed 30.0059 seconds  written: 3757.0GB 369.9GB/sec        checked: 7514.0GB 378.6GB/sec
 119220 iteration. Passed 30.0036 seconds  written: 3727.8GB 363.8GB/sec        checked: 7455.5GB 377.4GB/sec
 120350 iteration. Passed 30.0201 seconds  written: 3672.5GB 357.8GB/sec        checked: 7345.0GB 371.8GB/sec
 121484 iteration. Passed 30.0250 seconds  written: 3685.5GB 359.1GB/sec        checked: 7371.0GB 373.0GB/sec
 122618 iteration. Passed 30.0084 seconds  written: 3685.5GB 360.4GB/sec        checked: 7371.0GB 372.6GB/sec
 123752 iteration. Passed 30.0070 seconds  written: 3685.5GB 359.0GB/sec        checked: 7371.0GB 373.4GB/sec
 124886 iteration. Passed 30.0209 seconds  written: 3685.5GB 359.6GB/sec        checked: 7371.0GB 372.8GB/sec
 126020 iteration. Passed 30.0116 seconds  written: 3685.5GB 359.6GB/sec        checked: 7371.0GB 373.0GB/sec
 127153 iteration. Passed 30.0053 seconds  written: 3682.2GB 359.2GB/sec        checked: 7364.5GB 372.8GB/sec
 128284 iteration. Passed 30.0023 seconds  written: 3675.8GB 359.9GB/sec        checked: 7351.5GB 371.5GB/sec
 129415 iteration. Passed 30.0149 seconds  written: 3675.8GB 359.3GB/sec        checked: 7351.5GB 371.6GB/sec
 130548 iteration. Passed 30.0069 seconds  written: 3682.2GB 359.8GB/sec        checked: 7364.5GB 372.4GB/sec
 131689 iteration. Passed 30.0184 seconds  written: 3708.2GB 362.9GB/sec        checked: 7416.5GB 374.6GB/sec
 132832 iteration. Passed 30.0190 seconds  written: 3714.8GB 362.8GB/sec        checked: 7429.5GB 375.6GB/sec
 133967 iteration. Passed 30.0097 seconds  written: 3688.8GB 360.7GB/sec        checked: 7377.5GB 372.9GB/sec
 135111 iteration. Passed 30.0077 seconds  written: 3718.0GB 362.8GB/sec        checked: 7436.0GB 376.3GB/sec
 136263 iteration. Passed 30.0205 seconds  written: 3744.0GB 366.2GB/sec        checked: 7488.0GB 378.2GB/sec
 137398 iteration. Passed 30.0085 seconds  written: 3688.8GB 360.6GB/sec        checked: 7377.5GB 373.0GB/sec
 138532 iteration. Passed 30.0144 seconds  written: 3685.5GB 359.7GB/sec        checked: 7371.0GB 372.9GB/sec
